eta.ata.atd.vesseldwt.vesseltype.discharge1.load1.discharge2.load2.discharge3.load3.discharge4.load4.stevedorenames.hasnohamis.earliesteta.latesteta.traveltype.previousportid.nextportid.isremarkable.vesselid
2017-09-19 00:00:00+00.2017-09-19 00:00:00+00.2017-09-22 00:00:00+00.109290.5.0.0.0.0.90173.0.0.0.Stevedore_104..2017-09-19 00:00:00+00.2017-09-19 00:00:00+00.ARRIVAL.981.731.f.2242
2017-10-02 00:00:00+00.2017-10-02 00:00:00+00.2017-10-03 00:00:00+00.67170.3.0.0.0.0.0.0.0.0.Stevedore_109..2017-10-02 00:00:00+00.2017-10-02 00:00:00+00.ARRIVAL.19.15.f.5462
2017-09-30 00:00:00+00.2017-09-30 00:00:00+00.2017-10-01 00:00:00+00.67737.3.0.0.0.0.0.0.0.0.Stevedore_57..2017-09-30 00:00:00+00.2017-09-30 00:00:00+00.ARRIVAL.19.19.f.5251
2017-10-02 00:00:00+00.2017-10-02 00:00:00+00.2017-10-03 00:00:00+00.43600.3.0.0.0.0.0.0.0.0.Stevedore_57..2017-10-02 00:00:00+00.2017-10-02 00:00:00+00.ARRIVAL.15.18.f.5268
2017-10-02 00:00:00+00.2017-10-02 00:00:00+00.2017-10-02 00:00:00+00.9231.3.0.0.0.0.0.0.0.0.Stevedore_98..2017-10-02 00:00:00+00.2017-10-02 00:00:00+00.ARRIVAL.74.27.f.5504
2017-09-29 00:00:00+00.2017-09-29 00:00:00+00.2017-10-01 00:00:00+00.74518.2.72741.0.0.0.0.0.0.0.Stevedore_67..2017-09-29 00:00:00+00.2017-09-29 00:00:00+00.ARRIVAL.981.981.f.7242
2017-10-02 00:00:00+00.2017-10-01 00:00:00+00.2017-10-02 00:00:00+00.8620.3.0.0.0.0.0.0.0.0.Stevedore_109,Stevedore_57,Stevedore_64..2017-10-01 00:00:00+00.2017-10-02 00:00:00+00.SHIFT.18.766.f.4756
2017-10-15 00:00:00+00.2017-10-16 00:00:00+00.2017-10-18 00:00:00+00.46428.3.0.0.0.0.0.0.0.0.Stevedore_102..2017-10-15 00:00:00+00.2017-10-15 00:00:00+00.ARRIVAL.260.95.f.1716
2017-11-06 00:00:00+00.2017-11-06 00:00:00+00.2017-11-07 00:00:00+00.17069.5.0.0.0.0.14044.0.0.0.Stevedore_35..2017-11-05 00:00:00+00.2017-11-06 00:00:00+00.ARRIVAL.36.286.f.2542
2017-10-05 00:00:00+00.2017-10-06 00:00:00+00.2017-10-07 00:00:00+00.67170.3.0.0.0.0.0.0.0.0.Stevedore_57..2017-10-05 00:00:00+00.2017-10-05 00:00:00+00.ARRIVAL.73.19.f.5757
2017-10-12 00:00:00+00.2017-10-15 00:00:00+00.2017-10-16 00:00:00+00.64989.3.0.0.0.0.0.0.0.0.Stevedore_57..2017-10-12 00:00:00+00.2017-10-12 00:00:00+00.ARRIVAL.73.19.f.5797
2017-10-20 00:00:00+00.2017-10-22 00:00:00+00.2017-10-22 00:00:00+00.12306.3.0.0.0.0.0.0.0.0.Stevedore_45..2017-10-20 00:00:00+00.2017-10-20 00:00:00+00.ARRIVAL.1014.18.f.5011
2017-09-05 00:00:00+00.2017-09-05 00:00:00+00.2017-09-08 00:00:00+00.139335.3.0.0.0.0.0.0.0.0.Stevedore_57..2017-09-05 00:00:00+00.2017-09-05 00:00:00+00.ARRIVAL.879.19.f.5399
2017-09-25 00:00:00+00.2017-09-25 00:00:00+00.2017-09-26 00:00:00+00.3002.3.0.0.0.0.0.0.0.0.Stevedore_87..2017-09-25 00:00:00+00.2017-09-25 00:00:00+00.ARRIVAL.31.18.f.1793
2017-09-17 00:00:00+00.2017-09-17 00:00:00+00.2017-09-17 00:00:00+00.9344.3.0.0.0.0.0.0.0.0.Stevedore_98..2017-09-17 00:00:00+00.2017-09-17 00:00:00+00.ARRIVAL.18.35.f.5237
2017-10-04 00:00:00+00.2017-10-04 00:00:00+00.2017-10-05 00:00:00+00.9231.3.0.0.0.0.0.0.0.0.Stevedore_98..2017-10-04 00:00:00+00.2017-10-04 00:00:00+00.ARRIVAL.74.74.f.5504
2017-09-14 00:00:00+00.2017-09-14 00:00:00+00.2017-09-15 00:00:00+00.9322.3.0.0.0.0.0.0.0.0.Stevedore_98..2017-09-14 00:00:00+00.2017-09-14 00:00:00+00.ARRIVAL.14.1000.f.4832
2017-09-30 00:00:00+00.2017-09-30 00:00:00+00.2017-10-01 00:00:00+00.13965.3.0.0.0.0.0.0.0.0.Stevedore_98..2017-09-30 00:00:00+00.2017-09-30 00:00:00+00.ARRIVAL.14.87.f.5076
2017-10-04 00:00:00+00.2017-10-04 00:00:00+00.2017-10-04 00:00:00+00.9350.3.0.0.0.0.0.0.0.0.Stevedore_98..2017-10-04 00:00:00+00.2017-10-04 00:00:00+00.ARRIVAL.27.27.f.5503
2017-11-09 00:00:00+00.2017-11-09 00:00:00+00.2017-11-10 00:00:00+00.152343.3.0.0.0.0.0.0.0.0.Stevedore_57..2017-11-09 00:00:00+00.2017-11-09 00:00:00+00.ARRIVAL.1040.766.f.4881
2017-10-13 00:00:00+00.2017-10-13 00:00:00+00.2017-10-13 00:00:00+00.9741.3.0.0.0.0.0.0.0.0.Stevedore_92..2017-10-13 00:00:00+00.2017-10-13 00:00:00+00.ARRIVAL.14.14.f.4596
2017-10-04 00:00:00+00.2017-10-04 00:00:00+00.2017-10-06 00:00:00+00.114106.3.0.0.0.0.0.0.0.0.Stevedore_57..2017-10-04 00:00:00+00.2017-10-04 00:00:00+00.ARRIVAL.73.18.f.7246
